request_id,condition_score,asset_age_years,severity,criticality_score,overdue_days,historical_event_count,traffic_impact_score,duration_hours,priority_score,priority_band
MR0001,98,4,80,74,16,2,12.5,4.0,63.13,MEDIUM
MR0002,73,15,93,98,23,5,10.0,0.5,80.38,HIGH
MR0003,72,5,65,81,13,0,12.0,0.5,58.82,MEDIUM
MR0004,82,13,66,77,5,2,11.5,0.5,50.66,MEDIUM
MR0005,68,14,50,79,15,5,11.5,2.0,54.06,MEDIUM
MR0006,80,10,63,100,13,5,12.0,1.0,62.1,MEDIUM
MR0007,86,4,88,76,15,4,12.0,2.0,66.07,MEDIUM
MR0008,70,12,98,73,17,2,11.5,3.0,70.09,MEDIUM
MR0009,76,10,73,51,22,2,11.0,2.5,59.26,MEDIUM
MR0010,72,13,56,97,18,2,11.5,4.0,64.25,MEDIUM
MR0011,83,17,81,98,15,4,11.5,0.5,70.29,MEDIUM
MR0012,76,10,49,50,17,2,11.0,2.5,47.42,LOW
MR0013,64,11,96,79,28,3,10.5,1.5,79.81,HIGH
MR0014,82,7,74,91,13,1,11.0,4.0,63.88,MEDIUM
MR0015,80,8,76,57,8,1,12.5,1.5,50.86,MEDIUM
MR0016,88,15,98,53,27,5,11.5,0.5,70.88,MEDIUM
MR0017,65,19,57,98,20,1,11.5,2.5,64.64,MEDIUM
MR0018,54,14,74,83,6,3,11.0,4.0,56.3,MEDIUM
MR0019,64,5,80,75,8,3,11.5,0.5,58.07,MEDIUM
MR0020,77,20,50,52,21,2,11.5,1.5,49.73,LOW
MR0021,76,10,95,56,15,2,11.0,2.0,63.46,MEDIUM
MR0022,80,10,68,92,23,5,12.0,0.5,69.45,MEDIUM
MR0023,84,10,46,77,14,4,11.5,2.0,51.67,MEDIUM
MR0024,73,7,99,76,3,3,10.0,3.0,59.38,MEDIUM
MR0025,83,6,53,93,23,4,11.5,1.5,65.11,MEDIUM
MR0026,83,16,72,60,28,7,10.5,0.5,64.16,MEDIUM
MR0027,75,19,50,75,27,2,11.0,2.0,62.29,MEDIUM
MR0028,91,17,47,99,18,5,10.5,0.5,60.79,MEDIUM
MR0029,76,10,52,56,5,2,11.0,3.0,41.29,LOW
MR0030,61,19,85,79,1,5,11.0,4.0,55.67,MEDIUM
MR0031,98,4,49,80,23,2,12.5,1.5,58.09,MEDIUM
MR0032,90,20,64,58,13,4,14.5,1.0,50.52,MEDIUM
MR0033,77,19,55,52,7,2,11.0,1.5,40.36,LOW
MR0034,53,14,73,60,24,3,12.0,0.5,65.82,MEDIUM
MR0035,98,4,57,81,16,2,12.5,3.0,56.69,MEDIUM
MR0036,60,5,72,55,8,4,11.5,0.5,49.84,LOW
MR0037,87,9,80,73,10,2,11.0,4.0,56.78,MEDIUM
MR0038,65,19,58,93,22,1,11.5,1.0,67.17,MEDIUM
MR0039,68,14,65,77,5,5,11.5,0.5,49.48,LOW
MR0040,70,12,55,77,26,5,11.5,2.0,64.53,MEDIUM
MR0041,82,7,46,93,0,1,11.0,1.5,42.96,LOW
MR0042,69,21,50,83,24,4,11.0,4.0,63.37,MEDIUM
MR0043,82,6,66,98,28,3,10.5,4.0,72.35,MEDIUM
MR0044,72,5,89,75,10,0,12.0,2.5,61.81,MEDIUM
MR0045,91,17,62,90,29,5,10.5,3.0,69.23,MEDIUM
MR0046,68,9,49,94,28,4,11.0,1.0,67.49,MEDIUM
MR0047,71,6,70,73,19,3,10.5,2.0,63.0,MEDIUM
MR0048,60,5,100,51,8,4,11.5,3.0,59.3,MEDIUM
MR0049,73,18,57,50,23,3,11.5,1.0,55.51,MEDIUM
MR0050,83,17,63,97,5,4,11.5,2.0,53.95,MEDIUM
MR0051,77,20,48,60,17,2,11.5,2.5,50.18,MEDIUM
MR0052,74,19,67,81,1,2,11.5,1.0,47.82,LOW
MR0053,83,17,50,99,17,4,11.5,4.0,60.12,MEDIUM
MR0054,85,20,59,80,6,1,14.0,4.0,49.0,LOW
MR0055,60,5,75,52,30,4,11.5,2.5,64.08,MEDIUM
MR0056,90,16,68,54,9,5,14.0,3.0,46.22,LOW
MR0057,68,18,61,74,28,2,10.5,2.0,65.66,MEDIUM
MR0058,64,11,67,79,17,3,10.5,2.0,61.34,MEDIUM
MR0059,53,14,81,51,30,3,12.0,3.0,66.06,MEDIUM
MR0060,82,6,89,97,22,3,10.5,2.5,77.87,HIGH
