asset_id,section_id,asset_type,department,installation_year,condition_score,criticality,last_maintenance_date
AST0001,SEC001,TRACK,Engineering,2016,71,HIGH,2026-08-01
AST0002,SEC001,SIGNAL,Signalling,2016,84,HIGH,2026-05-27
AST0003,SEC001,OHE,Traction,2012,53,MEDIUM,2026-08-19
AST0004,SEC001,POINTS,Engineering,2021,72,HIGH,2026-07-23
AST0005,SEC001,TELECOM,S&T,2017,95,MEDIUM,2026-05-25
AST0006,SEC002,TRACK,Engineering,2006,96,HIGH,2026-07-11
AST0007,SEC002,SIGNAL,Signalling,2007,74,HIGH,2026-05-06
AST0008,SEC002,OHE,Traction,2020,76,CRITICAL,2026-08-15
AST0009,SEC002,POINTS,Engineering,2014,70,HIGH,2026-06-23
AST0010,SEC002,TELECOM,S&T,2016,74,HIGH,2026-08-14
AST0011,SEC003,TRACK,Engineering,2008,73,MEDIUM,2026-08-18
AST0012,SEC003,SIGNAL,Signalling,2021,64,HIGH,2026-06-29
AST0013,SEC003,OHE,Traction,2013,72,CRITICAL,2026-07-09
AST0014,SEC003,POINTS,Engineering,2021,78,HIGH,2026-05-14
AST0015,SEC003,TELECOM,S&T,2009,67,HIGH,2026-06-21
AST0016,SEC004,TRACK,Engineering,2015,92,CRITICAL,2026-05-05
AST0017,SEC004,SIGNAL,Signalling,2005,98,CRITICAL,2026-06-23
AST0018,SEC004,OHE,Traction,2010,90,MEDIUM,2026-08-07
AST0019,SEC004,POINTS,Engineering,2010,69,MEDIUM,2026-08-11
AST0020,SEC004,TELECOM,S&T,2006,85,HIGH,2026-07-18
AST0021,SEC005,TRACK,Engineering,2022,86,HIGH,2026-07-25
AST0022,SEC005,SIGNAL,Signalling,2016,80,CRITICAL,2026-08-10
AST0023,SEC005,OHE,Traction,2021,75,HIGH,2026-07-16
AST0024,SEC005,POINTS,Engineering,2020,68,HIGH,2026-05-28
AST0025,SEC005,TELECOM,S&T,2020,65,HIGH,2026-08-21
AST0026,SEC006,TRACK,Engineering,2018,77,HIGH,2026-08-08
AST0027,SEC006,SIGNAL,Signalling,2016,76,MEDIUM,2026-05-18
AST0028,SEC006,OHE,Traction,2016,66,HIGH,2026-05-18
AST0029,SEC006,POINTS,Engineering,2019,75,HIGH,2026-07-10
AST0030,SEC006,TELECOM,S&T,2019,82,CRITICAL,2026-06-12
AST0031,SEC007,TRACK,Engineering,2021,60,MEDIUM,2026-07-25
AST0032,SEC007,SIGNAL,Signalling,2011,88,MEDIUM,2026-07-23
AST0033,SEC007,OHE,Traction,2012,68,HIGH,2026-06-21
AST0034,SEC007,POINTS,Engineering,2022,73,HIGH,2026-07-26
AST0035,SEC007,TELECOM,S&T,2010,46,MEDIUM,2026-07-02
AST0036,SEC008,TRACK,Engineering,2013,82,HIGH,2026-06-04
AST0037,SEC008,SIGNAL,Signalling,2014,70,HIGH,2026-08-10
AST0038,SEC008,OHE,Traction,2016,76,HIGH,2026-05-13
AST0039,SEC008,POINTS,Engineering,2006,77,MEDIUM,2026-05-18
AST0040,SEC008,TELECOM,S&T,2022,82,HIGH,2026-08-20
AST0041,SEC009,TRACK,Engineering,2011,98,HIGH,2026-06-28
AST0042,SEC009,SIGNAL,Signalling,2012,54,HIGH,2026-08-05
AST0043,SEC009,OHE,Traction,2017,94,HIGH,2026-08-11
AST0044,SEC009,POINTS,Engineering,2007,61,HIGH,2026-06-10
AST0045,SEC009,TELECOM,S&T,2017,87,HIGH,2026-07-17
AST0046,SEC010,TRACK,Engineering,2020,83,CRITICAL,2026-08-02
AST0047,SEC010,SIGNAL,Signalling,2016,84,HIGH,2026-06-01
AST0048,SEC010,OHE,Traction,2015,67,MEDIUM,2026-05-22
AST0049,SEC010,POINTS,Engineering,2005,87,CRITICAL,2026-06-23
AST0050,SEC010,TELECOM,S&T,2006,63,MEDIUM,2026-07-05
AST0051,SEC011,TRACK,Engineering,2011,90,MEDIUM,2026-05-09
AST0052,SEC011,SIGNAL,Signalling,2020,79,HIGH,2026-06-03
AST0053,SEC011,OHE,Traction,2020,74,CRITICAL,2026-06-08
AST0054,SEC011,POINTS,Engineering,2006,90,MEDIUM,2026-07-15
AST0055,SEC011,TELECOM,S&T,2015,81,MEDIUM,2026-05-04
AST0056,SEC012,TRACK,Engineering,2005,69,HIGH,2026-07-18
AST0057,SEC012,SIGNAL,Signalling,2007,77,MEDIUM,2026-08-14
AST0058,SEC012,OHE,Traction,2016,73,HIGH,2026-07-20
AST0059,SEC012,POINTS,Engineering,2007,75,HIGH,2026-05-04
AST0060,SEC012,TELECOM,S&T,2017,68,CRITICAL,2026-07-02
AST0061,SEC013,TRACK,Engineering,2015,92,HIGH,2026-07-25
AST0062,SEC013,SIGNAL,Signalling,2008,84,HIGH,2026-06-14
AST0063,SEC013,OHE,Traction,2007,65,CRITICAL,2026-05-21
AST0064,SEC013,POINTS,Engineering,2009,83,CRITICAL,2026-05-15
AST0065,SEC013,TELECOM,S&T,2014,76,HIGH,2026-05-19
AST0066,SEC014,TRACK,Engineering,2020,82,CRITICAL,2026-06-20
AST0067,SEC014,SIGNAL,Signalling,2022,66,HIGH,2026-05-19
AST0068,SEC014,OHE,Traction,2020,71,HIGH,2026-07-29
AST0069,SEC014,POINTS,Engineering,2005,78,CRITICAL,2026-08-05
AST0070,SEC014,TELECOM,S&T,2015,64,HIGH,2026-07-10
AST0071,SEC015,TRACK,Engineering,2007,56,HIGH,2026-07-03
AST0072,SEC015,SIGNAL,Signalling,2010,83,MEDIUM,2026-08-15
AST0073,SEC015,OHE,Traction,2019,84,HIGH,2026-08-06
AST0074,SEC015,POINTS,Engineering,2009,91,CRITICAL,2026-05-27
AST0075,SEC015,TELECOM,S&T,2008,68,HIGH,2026-05-28
AST0076,SEC016,TRACK,Engineering,2006,75,MEDIUM,2026-06-13
AST0077,SEC016,SIGNAL,Signalling,2008,67,HIGH,2026-06-30
AST0078,SEC016,OHE,Traction,2011,73,CRITICAL,2026-05-11
AST0079,SEC016,POINTS,Engineering,2019,73,HIGH,2026-05-15
AST0080,SEC016,TELECOM,S&T,2015,83,HIGH,2026-08-09
AST0081,SEC017,TRACK,Engineering,2005,53,HIGH,2026-06-20
AST0082,SEC017,SIGNAL,Signalling,2018,80,MEDIUM,2026-06-21
AST0083,SEC017,OHE,Traction,2014,73,CRITICAL,2026-07-19
AST0084,SEC017,POINTS,Engineering,2007,79,MEDIUM,2026-05-05
AST0085,SEC017,TELECOM,S&T,2022,98,HIGH,2026-06-07
