history_id,asset_id,section_id,event_date,event_type,severity,downtime_hours
HIST0001,AST0011,SEC003,2025-01-09,MINOR_FAILURE,99,2.0
HIST0002,AST0046,SEC010,2025-03-25,DEFECT_FOUND,60,0.5
HIST0003,AST0041,SEC009,2026-05-28,MINOR_FAILURE,86,1.0
HIST0004,AST0036,SEC008,2025-03-03,DEFECT_FOUND,98,1.5
HIST0005,AST0084,SEC017,2026-01-09,MINOR_FAILURE,34,3.0
HIST0006,AST0024,SEC005,2026-05-30,DEFECT_FOUND,66,3.0
HIST0007,AST0056,SEC012,2025-09-03,DEFECT_FOUND,77,2.0
HIST0008,AST0066,SEC014,2026-07-08,DEFECT_FOUND,63,2.0
HIST0009,AST0059,SEC012,2025-07-12,DEFECT_FOUND,86,0.5
HIST0010,AST0013,SEC003,2025-09-22,MINOR_FAILURE,65,3.0
HIST0011,AST0041,SEC009,2025-02-24,DEFECT_FOUND,78,1.0
HIST0012,AST0018,SEC004,2026-03-16,DEFECT_FOUND,57,4.0
HIST0013,AST0002,SEC001,2025-02-05,DEFECT_FOUND,84,2.0
HIST0014,AST0080,SEC016,2025-02-28,DEFECT_FOUND,32,0.5
HIST0015,AST0044,SEC009,2025-02-27,DEFECT_FOUND,82,0.5
HIST0016,AST0065,SEC013,2025-03-20,MINOR_FAILURE,79,3.0
HIST0017,AST0085,SEC017,2025-01-02,DEFECT_FOUND,95,4.0
HIST0018,AST0047,SEC010,2026-03-22,MINOR_FAILURE,81,4.0
HIST0019,AST0033,SEC007,2025-02-01,PREVENTIVE_MAINTENANCE,37,4.0
HIST0020,AST0072,SEC015,2026-05-23,DEFECT_FOUND,33,1.0
HIST0021,AST0043,SEC009,2025-05-25,MINOR_FAILURE,47,2.0
HIST0022,AST0022,SEC005,2025-08-26,DEFECT_FOUND,51,6.0
HIST0023,AST0043,SEC009,2025-06-10,PREVENTIVE_MAINTENANCE,62,2.0
HIST0024,AST0002,SEC001,2026-04-15,DEFECT_FOUND,77,3.0
HIST0025,AST0072,SEC015,2025-06-17,DEFECT_FOUND,98,6.0
HIST0026,AST0028,SEC006,2025-02-20,MINOR_FAILURE,47,1.5
HIST0027,AST0041,SEC009,2025-12-29,MINOR_FAILURE,82,4.0
HIST0028,AST0031,SEC007,2025-10-20,MINOR_FAILURE,78,1.5
HIST0029,AST0039,SEC008,2025-05-09,MINOR_FAILURE,68,0.5
