request_id,asset_id,section_id,department,asset_type,maintenance_type,severity,criticality_score,duration_hours,created_date,due_date,overdue_days,baseline_risk_score,status
MR0001,AST0085,SEC017,S&T,TELECOM,Fiber link inspection,80,74,4.0,2026-08-19,2026-09-01,16,43.9,PENDING
MR0002,AST0078,SEC016,Traction,OHE,OHE inspection,93,98,0.5,2026-08-20,2026-08-26,23,57.2,COMPLETED
MR0003,AST0004,SEC001,Engineering,POINTS,Point machine maintenance,65,81,0.5,2026-08-27,2026-09-10,13,49.8,PENDING
MR0004,AST0036,SEC008,Engineering,TRACK,Track inspection,66,77,0.5,2026-08-19,2026-08-29,5,43.1,PENDING
MR0005,AST0033,SEC007,Traction,OHE,Pantograph clearance check,50,79,2.0,2026-08-25,2026-09-03,15,41.1,IN_PROGRESS
MR0006,AST0022,SEC005,Signalling,SIGNAL,Interlocking check,63,100,1.0,2026-08-18,2026-08-28,13,44.0,PENDING
MR0007,AST0021,SEC005,Engineering,TRACK,Tamping,88,76,2.0,2026-08-19,2026-08-28,15,49.8,PENDING
MR0008,AST0037,SEC008,Signalling,SIGNAL,Interlocking check,98,73,3.0,2026-08-20,2026-08-24,17,51.3,IN_PROGRESS
MR0009,AST0027,SEC006,Signalling,SIGNAL,Signal inspection,73,51,2.5,2026-08-25,2026-09-01,22,39.4,IN_PROGRESS
MR0010,AST0013,SEC003,Traction,OHE,Catenary maintenance,56,97,4.0,2026-08-31,2026-09-08,18,51.0,COMPLETED
MR0011,AST0064,SEC013,Engineering,POINTS,Point machine maintenance,81,98,0.5,2026-08-28,2026-09-07,15,55.6,PENDING
MR0012,AST0027,SEC006,Signalling,SIGNAL,Signal inspection,49,50,2.5,2026-08-17,2026-08-26,17,36.8,IN_PROGRESS
MR0013,AST0070,SEC014,S&T,TELECOM,Control communication maintenance,96,79,1.5,2026-08-15,2026-08-22,28,68.1,PENDING
MR0014,AST0030,SEC006,S&T,TELECOM,Control communication maintenance,74,91,4.0,2026-08-20,2026-09-01,13,49.5,PENDING
MR0015,AST0082,SEC017,Signalling,SIGNAL,Interlocking check,76,57,1.5,2026-08-17,2026-08-30,8,41.1,PENDING
MR0016,AST0032,SEC007,Signalling,SIGNAL,Interlocking check,98,53,0.5,2026-08-25,2026-08-31,27,47.2,PENDING
MR0017,AST0063,SEC013,Traction,OHE,OHE inspection,57,98,2.5,2026-08-23,2026-09-04,20,39.3,IN_PROGRESS
MR0018,AST0042,SEC009,Signalling,SIGNAL,Signal inspection,74,83,4.0,2026-08-26,2026-09-06,6,49.7,PENDING
MR0019,AST0012,SEC003,Signalling,SIGNAL,Signal inspection,80,75,0.5,2026-08-20,2026-08-30,8,51.8,PENDING
MR0020,AST0039,SEC008,Engineering,POINTS,Point machine maintenance,50,52,1.5,2026-08-29,2026-09-05,21,25.2,PENDING
MR0021,AST0027,SEC006,Signalling,SIGNAL,Signal inspection,95,56,2.0,2026-08-15,2026-08-20,15,52.4,PENDING
MR0022,AST0022,SEC005,Signalling,SIGNAL,Interlocking check,68,92,0.5,2026-08-19,2026-08-24,23,43.0,PENDING
MR0023,AST0047,SEC010,Signalling,SIGNAL,Signal inspection,46,77,2.0,2026-08-29,2026-09-02,14,41.8,PENDING
MR0024,AST0079,SEC016,Engineering,POINTS,Point machine maintenance,99,76,3.0,2026-08-16,2026-08-19,3,48.5,PENDING
MR0025,AST0046,SEC010,Engineering,TRACK,Track inspection,53,93,1.5,2026-08-25,2026-09-04,23,42.7,PENDING
MR0026,AST0072,SEC015,Signalling,SIGNAL,Signal relay maintenance,72,60,0.5,2026-08-22,2026-09-02,28,43.4,PENDING
MR0027,AST0059,SEC012,Engineering,POINTS,Turnout inspection,50,75,2.0,2026-08-25,2026-08-28,27,49.6,IN_PROGRESS
MR0028,AST0074,SEC015,Engineering,POINTS,Point machine maintenance,47,99,0.5,2026-08-27,2026-09-04,18,43.3,PENDING
MR0029,AST0027,SEC006,Signalling,SIGNAL,Signal relay maintenance,52,56,3.0,2026-08-31,2026-09-14,5,43.9,PENDING
MR0030,AST0044,SEC009,Engineering,POINTS,Turnout inspection,85,79,4.0,2026-08-23,2026-09-03,1,56.8,PENDING
MR0031,AST0085,SEC017,S&T,TELECOM,Control communication maintenance,49,80,1.5,2026-08-17,2026-08-29,23,24.9,PENDING
MR0032,AST0054,SEC011,Engineering,POINTS,Turnout inspection,64,58,1.0,2026-08-26,2026-09-02,13,33.1,COMPLETED
MR0033,AST0057,SEC012,Signalling,SIGNAL,Signal relay maintenance,55,52,1.5,2026-08-28,2026-09-10,7,27.7,PENDING
MR0034,AST0003,SEC001,Traction,OHE,Catenary maintenance,73,60,0.5,2026-08-25,2026-08-29,24,56.8,PENDING
MR0035,AST0085,SEC017,S&T,TELECOM,Fiber link inspection,57,81,3.0,2026-08-24,2026-08-30,16,35.3,PENDING
MR0036,AST0031,SEC007,Engineering,TRACK,Rail grinding,72,55,0.5,2026-08-26,2026-09-03,8,46.3,PENDING
MR0037,AST0045,SEC009,S&T,TELECOM,Control communication maintenance,80,73,4.0,2026-08-31,2026-09-12,10,36.2,COMPLETED
MR0038,AST0063,SEC013,Traction,OHE,Pantograph clearance check,58,93,1.0,2026-08-29,2026-09-01,22,51.8,PENDING
MR0039,AST0033,SEC007,Traction,OHE,OHE inspection,65,77,0.5,2026-08-15,2026-08-25,5,37.2,PENDING
MR0040,AST0009,SEC002,Engineering,POINTS,Turnout inspection,55,77,2.0,2026-08-31,2026-09-07,26,50.9,PENDING
MR0041,AST0030,SEC006,S&T,TELECOM,Control communication maintenance,46,93,1.5,2026-08-24,2026-08-30,0,32.1,COMPLETED
MR0042,AST0056,SEC012,Engineering,TRACK,Rail joint repair,50,83,4.0,2026-08-31,2026-09-13,24,48.8,PENDING
MR0043,AST0066,SEC014,Engineering,TRACK,Track inspection,66,98,4.0,2026-08-19,2026-08-27,28,46.7,PENDING
MR0044,AST0004,SEC001,Engineering,POINTS,Turnout inspection,89,75,2.5,2026-08-28,2026-09-07,10,47.7,PENDING
MR0045,AST0074,SEC015,Engineering,POINTS,Turnout inspection,62,90,3.0,2026-08-29,2026-09-02,29,47.2,COMPLETED
MR0046,AST0060,SEC012,S&T,TELECOM,Fiber link inspection,49,94,1.0,2026-08-18,2026-09-01,28,54.6,PENDING
MR0047,AST0068,SEC014,Traction,OHE,OHE inspection,70,73,2.0,2026-08-30,2026-09-11,19,50.0,PENDING
MR0048,AST0031,SEC007,Engineering,TRACK,Tamping,100,51,3.0,2026-08-27,2026-09-06,8,60.0,PENDING
MR0049,AST0011,SEC003,Engineering,TRACK,Tamping,57,50,1.0,2026-08-22,2026-08-25,23,42.4,COMPLETED
MR0050,AST0064,SEC013,Engineering,POINTS,Turnout inspection,63,97,2.0,2026-08-16,2026-08-23,5,37.7,PENDING
MR0051,AST0039,SEC008,Engineering,POINTS,Turnout inspection,48,60,2.5,2026-08-17,2026-08-24,17,40.2,PENDING
MR0052,AST0007,SEC002,Signalling,SIGNAL,Signal relay maintenance,67,81,1.0,2026-08-29,2026-09-04,1,36.8,PENDING
MR0053,AST0064,SEC013,Engineering,POINTS,Point machine maintenance,50,99,4.0,2026-08-22,2026-09-02,17,37.5,PENDING
MR0054,AST0020,SEC004,S&T,TELECOM,Control communication maintenance,59,80,4.0,2026-08-29,2026-09-06,6,34.0,PENDING
MR0055,AST0031,SEC007,Engineering,TRACK,Track inspection,75,52,2.5,2026-08-16,2026-08-28,30,49.5,PENDING
MR0056,AST0018,SEC004,Traction,OHE,Catenary maintenance,68,54,3.0,2026-08-28,2026-09-03,9,24.8,IN_PROGRESS
MR0057,AST0075,SEC015,S&T,TELECOM,Fiber link inspection,61,74,2.0,2026-08-20,2026-08-29,28,52.1,PENDING
MR0058,AST0070,SEC014,S&T,TELECOM,Control communication maintenance,67,79,2.0,2026-08-25,2026-09-04,17,45.6,PENDING
MR0059,AST0003,SEC001,Traction,OHE,Catenary maintenance,81,51,3.0,2026-08-19,2026-08-29,30,52.1,IN_PROGRESS
MR0060,AST0066,SEC014,Engineering,TRACK,Tamping,89,97,2.5,2026-08-17,2026-08-27,22,55.1,PENDING
MR0061,AST0045,SEC009,S&T,TELECOM,Control communication maintenance,72,83,1.5,2026-08-31,2026-09-06,0,39.5,PENDING
MR0062,AST0012,SEC003,Signalling,SIGNAL,Interlocking check,89,75,0.5,2026-08-18,2026-08-28,29,60.3,PENDING
MR0063,AST0050,SEC010,S&T,TELECOM,Control communication maintenance,49,56,0.5,2026-08-26,2026-09-03,30,43.3,PENDING
MR0064,AST0048,SEC010,Traction,OHE,OHE inspection,45,60,3.0,2026-08-21,2026-09-03,15,40.3,PENDING
MR0065,AST0056,SEC012,Engineering,TRACK,Rail grinding,49,76,1.5,2026-08-23,2026-08-29,15,38.9,PENDING
MR0066,AST0005,SEC001,S&T,TELECOM,Control communication maintenance,74,55,2.0,2026-08-23,2026-09-03,10,32.5,PENDING
MR0067,AST0008,SEC002,Traction,OHE,OHE inspection,99,99,4.0,2026-08-17,2026-08-25,2,51.7,PENDING
MR0068,AST0049,SEC010,Engineering,POINTS,Point machine maintenance,100,97,1.5,2026-08-26,2026-09-05,14,51.7,PENDING
MR0069,AST0075,SEC015,S&T,TELECOM,Control communication maintenance,67,73,2.0,2026-08-16,2026-08-21,29,38.4,IN_PROGRESS
MR0070,AST0039,SEC008,Engineering,POINTS,Point machine maintenance,50,57,1.5,2026-08-25,2026-09-04,28,36.3,PENDING
MR0071,AST0073,SEC015,Traction,OHE,Catenary maintenance,77,80,2.0,2026-08-24,2026-08-28,24,58.2,PENDING
MR0072,AST0052,SEC011,Signalling,SIGNAL,Signal relay maintenance,86,81,2.0,2026-08-19,2026-08-21,11,47.6,IN_PROGRESS
MR0073,AST0059,SEC012,Engineering,POINTS,Point machine maintenance,68,73,1.0,2026-08-30,2026-09-09,27,41.5,PENDING
MR0074,AST0029,SEC006,Engineering,POINTS,Point machine maintenance,71,77,4.0,2026-08-30,2026-09-08,27,52.2,PENDING
MR0075,AST0046,SEC010,Engineering,TRACK,Tamping,76,96,3.0,2026-08-30,2026-09-11,27,50.1,PENDING
MR0076,AST0032,SEC007,Signalling,SIGNAL,Interlocking check,73,50,2.5,2026-08-16,2026-08-21,6,34.9,PENDING
