window_id,section_id,start_hour,start_time,end_time,expected_train_count,traffic_level,is_feasible,window_reason
MW00001,SEC001,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00002,SEC001,1,01:00,02:00,2,LOW,True,LOW_TRAFFIC
MW00003,SEC001,2,02:00,03:00,0,LOW,True,LOW_TRAFFIC
MW00004,SEC001,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00005,SEC001,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00006,SEC001,5,05:00,06:00,2,LOW,True,LOW_TRAFFIC
MW00007,SEC001,6,06:00,07:00,2,LOW,True,LOW_TRAFFIC
MW00008,SEC001,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00009,SEC001,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00010,SEC001,9,09:00,10:00,1,LOW,True,LOW_TRAFFIC
MW00011,SEC001,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00012,SEC001,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00013,SEC001,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00014,SEC001,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00015,SEC001,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00016,SEC001,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00017,SEC001,16,16:00,17:00,0,LOW,True,LOW_TRAFFIC
MW00018,SEC001,17,17:00,18:00,0,LOW,True,LOW_TRAFFIC
MW00019,SEC001,18,18:00,19:00,0,LOW,True,LOW_TRAFFIC
MW00020,SEC001,19,19:00,20:00,0,LOW,True,LOW_TRAFFIC
MW00021,SEC001,20,20:00,21:00,2,LOW,True,LOW_TRAFFIC
MW00022,SEC001,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00023,SEC001,22,22:00,23:00,3,MEDIUM,True,AVAILABLE_WITH_CONTROL
MW00024,SEC001,23,23:00,00:00,1,LOW,True,LOW_TRAFFIC
MW00025,SEC002,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00026,SEC002,1,01:00,02:00,2,LOW,True,LOW_TRAFFIC
MW00027,SEC002,2,02:00,03:00,0,LOW,True,LOW_TRAFFIC
MW00028,SEC002,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00029,SEC002,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00030,SEC002,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00031,SEC002,6,06:00,07:00,2,LOW,True,LOW_TRAFFIC
MW00032,SEC002,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00033,SEC002,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00034,SEC002,9,09:00,10:00,1,LOW,True,LOW_TRAFFIC
MW00035,SEC002,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00036,SEC002,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00037,SEC002,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00038,SEC002,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00039,SEC002,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00040,SEC002,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00041,SEC002,16,16:00,17:00,0,LOW,True,LOW_TRAFFIC
MW00042,SEC002,17,17:00,18:00,0,LOW,True,LOW_TRAFFIC
MW00043,SEC002,18,18:00,19:00,0,LOW,True,LOW_TRAFFIC
MW00044,SEC002,19,19:00,20:00,0,LOW,True,LOW_TRAFFIC
MW00045,SEC002,20,20:00,21:00,2,LOW,True,LOW_TRAFFIC
MW00046,SEC002,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00047,SEC002,22,22:00,23:00,3,MEDIUM,True,AVAILABLE_WITH_CONTROL
MW00048,SEC002,23,23:00,00:00,1,LOW,True,LOW_TRAFFIC
MW00049,SEC003,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00050,SEC003,1,01:00,02:00,2,LOW,True,LOW_TRAFFIC
MW00051,SEC003,2,02:00,03:00,1,LOW,True,LOW_TRAFFIC
MW00052,SEC003,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
