traffic_window_id,section_id,hour,train_count,traffic_level
TW00001,SEC001,0,0,LOW
TW00002,SEC001,1,2,LOW
TW00003,SEC001,2,0,LOW
TW00004,SEC001,3,1,LOW
TW00005,SEC001,4,1,LOW
TW00006,SEC001,5,2,LOW
TW00007,SEC001,6,2,LOW
TW00008,SEC001,7,1,LOW
TW00009,SEC001,8,1,LOW
TW00010,SEC001,9,1,LOW
TW00011,SEC001,10,1,LOW
TW00012,SEC001,11,1,LOW
TW00013,SEC001,12,1,LOW
TW00014,SEC001,13,1,LOW
TW00015,SEC001,14,1,LOW
TW00016,SEC001,15,1,LOW
TW00017,SEC001,16,0,LOW
TW00018,SEC001,17,0,LOW
TW00019,SEC001,18,0,LOW
TW00020,SEC001,19,0,LOW
TW00021,SEC001,20,2,LOW
TW00022,SEC001,21,1,LOW
TW00023,SEC001,22,3,MEDIUM
TW00024,SEC001,23,1,LOW
TW00025,SEC002,0,0,LOW
TW00026,SEC002,1,2,LOW
TW00027,SEC002,2,0,LOW
TW00028,SEC002,3,1,LOW
TW00029,SEC002,4,1,LOW
TW00030,SEC002,5,1,LOW
TW00031,SEC002,6,2,LOW
TW00032,SEC002,7,1,LOW
TW00033,SEC002,8,1,LOW
TW00034,SEC002,9,1,LOW
TW00035,SEC002,10,1,LOW
TW00036,SEC002,11,1,LOW
TW00037,SEC002,12,1,LOW
TW00038,SEC002,13,1,LOW
TW00039,SEC002,14,1,LOW
TW00040,SEC002,15,1,LOW
TW00041,SEC002,16,0,LOW
TW00042,SEC002,17,0,LOW
TW00043,SEC002,18,0,LOW
TW00044,SEC002,19,0,LOW
TW00045,SEC002,20,2,LOW
TW00046,SEC002,21,1,LOW
TW00047,SEC002,22,3,MEDIUM
TW00048,SEC002,23,1,LOW
TW00049,SEC003,0,0,LOW
TW00050,SEC003,1,2,LOW
TW00051,SEC003,2,1,LOW
TW00052,SEC003,3,1,LOW
TW00053,SEC003,4,1,LOW
TW00054,SEC003,5,1,LOW
TW00055,SEC003,6,1,LOW
TW00056,SEC003,7,2,LOW
TW00057,SEC003,8,2,LOW
TW00058,SEC003,9,1,LOW
TW00059,SEC003,10,1,LOW
TW00060,SEC003,11,2,LOW
TW00061,SEC003,12,1,LOW
TW00062,SEC003,13,1,LOW
TW00063,SEC003,14,1,LOW
TW00064,SEC003,15,0,LOW
TW00065,SEC003,16,1,LOW
TW00066,SEC003,17,0,LOW
TW00067,SEC003,18,0,LOW
TW00068,SEC003,19,0,LOW
TW00069,SEC003,20,0,LOW
TW00070,SEC003,21,0,LOW
TW00071,SEC003,22,2,LOW
TW00072,SEC003,23,2,LOW
TW00073,SEC004,0,0,LOW
TW00074,SEC004,1,1,LOW
TW00075,SEC004,2,1,LOW
TW00076,SEC004,3,1,LOW
TW00077,SEC004,4,1,LOW
TW00078,SEC004,5,1,LOW
TW00079,SEC004,6,1,LOW
TW00080,SEC004,7,1,LOW
TW00081,SEC004,8,2,LOW
TW00082,SEC004,9,2,LOW
TW00083,SEC004,10,1,LOW
TW00084,SEC004,11,2,LOW
TW00085,SEC004,12,2,LOW
TW00086,SEC004,13,2,LOW
TW00087,SEC004,14,2,LOW
TW00088,SEC004,15,1,LOW
TW00089,SEC004,16,1,LOW
TW00090,SEC004,17,0,LOW
TW00091,SEC004,18,0,LOW
TW00092,SEC004,19,2,LOW
TW00093,SEC004,20,1,LOW
TW00094,SEC004,21,1,LOW
TW00095,SEC004,22,1,LOW
TW00096,SEC004,23,1,LOW
TW00097,SEC005,0,0,LOW
TW00098,SEC005,1,1,LOW
TW00099,SEC005,2,1,LOW
TW00100,SEC005,3,1,LOW
TW00101,SEC005,4,1,LOW
TW00102,SEC005,5,2,LOW
TW00103,SEC005,6,2,LOW
TW00104,SEC005,7,1,LOW
TW00105,SEC005,8,1,LOW
TW00106,SEC005,9,1,LOW
TW00107,SEC005,10,1,LOW
TW00108,SEC005,11,1,LOW
TW00109,SEC005,12,1,LOW
TW00110,SEC005,13,1,LOW
TW00111,SEC005,14,1,LOW
TW00112,SEC005,15,1,LOW
TW00113,SEC005,16,1,LOW
TW00114,SEC005,17,0,LOW
TW00115,SEC005,18,0,LOW
TW00116,SEC005,19,2,LOW
TW00117,SEC005,20,1,LOW
TW00118,SEC005,21,1,LOW
TW00119,SEC005,22,1,LOW
TW00120,SEC005,23,1,LOW
TW00121,SEC006,0,0,LOW
TW00122,SEC006,1,1,LOW
TW00123,SEC006,2,2,LOW
TW00124,SEC006,3,1,LOW
TW00125,SEC006,4,0,LOW
TW00126,SEC006,5,1,LOW
TW00127,SEC006,6,2,LOW
TW00128,SEC006,7,1,LOW
TW00129,SEC006,8,1,LOW
TW00130,SEC006,9,1,LOW
TW00131,SEC006,10,1,LOW
TW00132,SEC006,11,1,LOW
TW00133,SEC006,12,1,LOW
TW00134,SEC006,13,1,LOW
TW00135,SEC006,14,1,LOW
TW00136,SEC006,15,1,LOW
TW00137,SEC006,16,1,LOW
TW00138,SEC006,17,0,LOW
TW00139,SEC006,18,0,LOW
TW00140,SEC006,19,2,LOW
TW00141,SEC006,20,1,LOW
TW00142,SEC006,21,1,LOW
TW00143,SEC006,22,0,LOW
TW00144,SEC006,23,1,LOW
TW00145,SEC007,0,0,LOW
TW00146,SEC007,1,0,LOW
TW00147,SEC007,2,2,LOW
TW00148,SEC007,3,1,LOW
TW00149,SEC007,4,1,LOW
TW00150,SEC007,5,1,LOW
TW00151,SEC007,6,2,LOW
TW00152,SEC007,7,1,LOW
TW00153,SEC007,8,2,LOW
TW00154,SEC007,9,1,LOW
