schedule_id,train_number,station_code,station_name,sequence,arrival_time,departure_time,day,km_from_origin
TS00001,12904,NDLS,New Delhi,1,01:00,01:00,1,0
TS00002,12904,CSB,Shivaji Bridge,2,01:10,01:12,1,2
TS00003,12904,TKJ,Tilak Bridge,3,01:21,01:23,1,3
TS00004,12904,NZM,Hazrat Nizamuddin,4,01:31,01:33,1,8
TS00005,12904,OKA,Okhla,5,01:41,01:43,1,12
TS00006,12904,TKD,Tuglakabad,6,01:51,01:53,1,18
TS00007,12904,FDB,Faridabad,7,02:02,02:04,1,31
TS00008,12904,FDN,Faridabad New Town,8,02:12,02:14,1,33
TS00009,12904,BVH,Ballabh Garh,9,02:22,02:24,1,39
TS00010,12904,AST,Asaoti,10,02:33,02:35,1,46
TS00011,12904,PWL,Palwal,11,02:43,02:45,1,56
TS00012,12904,HDL,Hodal,12,02:53,02:55,1,88
TS00013,12904,KSV,Kosi Kalan,13,03:04,03:06,1,95
TS00014,12904,CHJ,Chata,14,03:14,03:16,1,105
TS00015,12904,MTJ,Mathura Jn,15,03:24,03:26,1,120
TS00016,12904,DDDM,Deen Dayal Dham,16,03:34,03:36,1,153
TS00017,12904,RKM,Raja Ki Mandi,17,03:45,03:47,1,191
TS00018,12904,AGC,Agra Cantt,18,03:55,03:55,1,195
TS00019,12644,NDLS,New Delhi,1,01:40,01:40,1,0
TS00020,12644,CSB,Shivaji Bridge,2,01:49,01:51,1,2
TS00021,12644,TKJ,Tilak Bridge,3,01:57,01:59,1,3
TS00022,12644,NZM,Hazrat Nizamuddin,4,02:06,02:08,1,8
TS00023,12644,OKA,Okhla,5,02:14,02:16,1,12
TS00024,12644,TKD,Tuglakabad,6,02:23,02:25,1,18
TS00025,12644,FDB,Faridabad,7,02:31,02:33,1,31
TS00026,12644,FDN,Faridabad New Town,8,02:40,02:42,1,33
TS00027,12644,BVH,Ballabh Garh,9,02:48,02:50,1,39
TS00028,12644,AST,Asaoti,10,02:57,02:59,1,46
TS00029,12644,PWL,Palwal,11,03:05,03:07,1,56
TS00030,12644,HDL,Hodal,12,03:14,03:16,1,88
TS00031,12644,KSV,Kosi Kalan,13,03:22,03:24,1,95
TS00032,12644,CHJ,Chata,14,03:31,03:33,1,105
TS00033,12644,MTJ,Mathura Jn,15,03:39,03:41,1,120
TS00034,12644,DDDM,Deen Dayal Dham,16,03:48,03:50,1,153
TS00035,12644,RKM,Raja Ki Mandi,17,03:56,03:58,1,191
TS00036,12644,AGC,Agra Cantt,18,04:05,04:05,1,195
TS00037,12646,NDLS,New Delhi,1,03:00,03:00,1,0
TS00038,12646,CSB,Shivaji Bridge,2,03:09,03:11,1,2
TS00039,12646,TKJ,Tilak Bridge,3,03:17,03:19,1,3
TS00040,12646,NZM,Hazrat Nizamuddin,4,03:26,03:28,1,8
TS00041,12646,OKA,Okhla,5,03:34,03:36,1,12
TS00042,12646,TKD,Tuglakabad,6,03:43,03:45,1,18
TS00043,12646,FDB,Faridabad,7,03:51,03:53,1,31
TS00044,12646,FDN,Faridabad New Town,8,04:00,04:02,1,33
TS00045,12646,BVH,Ballabh Garh,9,04:08,04:10,1,39
TS00046,12646,AST,Asaoti,10,04:17,04:19,1,46
TS00047,12646,PWL,Palwal,11,04:25,04:27,1,56
